"Source:","C:\Users\lenovo\Documents\Work\RadioJItter RPi Transmitter Shield\RPi Hat RF Transmitter V1\RPi Hat RF Transmitter V1\RPi Hat RF Transmitter V1.sch"
"Date:","10/11/2019 3:37:50 PM"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Field4","Field5","Field6","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","62pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C3","3.3pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C5","62pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C7","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C9","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C11","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C13","68pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C14","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C15","1200pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C16","68pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C17","68pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","C19","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","CON1","Sig_In","vk_custom_kicad:SMA-","Connector_Coaxial:SMA_Amphenol_132291-12_Vertical","JOHNSON COMPONENTS","","91B6105","1339835","142-0701-871","","","","",""
"","","CON2","SMA-","vk_custom_kicad:SMA-","Connector_Coaxial:SMA_Amphenol_132291-12_Vertical","JOHNSON COMPONENTS","","91B6105","1339835","142-0701-871","","","","",""
"","","CON3","Sig_In","vk_custom_kicad:SMA-","Connector_Coaxial:SMA_Amphenol_132291-12_Vertical","JOHNSON COMPONENTS","","91B6105","1339835","142-0701-871","","","","",""
"","","CON4","Sig_In","vk_custom_kicad:SMA-","Connector_Coaxial:SMA_Amphenol_132291-12_Vertical","JOHNSON COMPONENTS","","91B6105","1339835","142-0701-871","","","","",""
"","","CON5","SMA-","vk_custom_kicad:SMA-","Connector_Coaxial:SMA_Amphenol_132291-12_Vertical","JOHNSON COMPONENTS","","91B6105","1339835","142-0701-871","","","","",""
"","","D1","Blue","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","D2","Green","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","D3","Orange","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","D4","Yellow","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","D5","Red","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","D6","Red","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","D7","Red","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","H1","3mm_Mounting_Hole","Mechanical:MountingHole","project_footprints:NPTH_3mm_ID","","","","","","","","","",""
"","","H2","3mm_Mounting_Hole","Mechanical:MountingHole","project_footprints:NPTH_3mm_ID","","","","","","","","","",""
"","","H3","3mm_Mounting_Hole","Mechanical:MountingHole","project_footprints:NPTH_3mm_ID","","","","","","","","","",""
"","","H4","3mm_Mounting_Hole","Mechanical:MountingHole","project_footprints:NPTH_3mm_ID","","","","","","","","","",""
"","","IC1","HMC241AQS16E","SamacSys_Parts:HMC241AQS16E","SamacSys_Parts:SOP64P600X175-16N","https://componentsearchengine.com/Datasheets/1/HMC241AQS16E.pdf","RF Switch ICs GaAs MMIC SP4T Non-Refl Swtch","","","","1.75","Analog Devices","HMC241AQS16E","584-HMC241AQS16E","https://www.mouser.com/Search/Refine.aspx?Keyword=584-HMC241AQS16E"
"","","IC2","HMC241AQS16E","SamacSys_Parts:HMC241AQS16E","SamacSys_Parts:SOP64P600X175-16N","https://componentsearchengine.com/Datasheets/1/HMC241AQS16E.pdf","RF Switch ICs GaAs MMIC SP4T Non-Refl Swtch","","","","1.75","Analog Devices","HMC241AQS16E","584-HMC241AQS16E","https://www.mouser.com/Search/Refine.aspx?Keyword=584-HMC241AQS16E"
"","","IC3","SN74HC139PW","SamacSys_Parts:SN74HC139PW","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/SN74HC139","Texas Instruments SN74HC139PW, Dual, Decoder, Demultiplexer, 1-of-4, Inverting, 2  6 V, 16-Pin TSSOP","","","","","Texas Instruments","SN74HC139PW","595-SN74HC139PW","https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC139PW"
"","","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","",""
"","","J2","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","",""
"","","J3","40HAT","RPi-Hat-RF-Transmitter-V1-rescue:OX40HAT-raspberrypi_hat","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","","","","","","","","","",""
"","","J4","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","","","","","","","","",""
"","","J5","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","",""
"","","J7","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","",""
"","","JP1","Jumper","Device:Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","",""
"","","JP2","Jumper","Device:Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","",""
"","","JP3","Jumper","Device:Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","",""
"","","JP4","Jumper","Device:Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","",""
"","","L1","18nH","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","L3","330nH","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","L5","18nH","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","L7","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","L9","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","L11","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","L13","82nH","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","R6","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","R10","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","R11","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","R12","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","R13","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","R14","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","R15","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","U1","SBB5089Z","vk_custom_kicad:SBB5089Z","RF_AMP_VK:SBB5089Z","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwj0l8WIkrbkAhXJbSsKHbu_CUMQFjAAegQIAhAC&url=https%3A%2F%2Fwww.qorvo.com%2Fproducts%2Fd%2Fda001309&usg=AOvVaw22USKWOlHmggPE9cEKP7A4","","","","","","","","",""
"","","U2","74AUC2G04","74xGxx:74AUC2G04","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","","","","","","","","",""
"","","X1","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X2","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X3","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X4","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X5","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X6","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X7","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X8","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X9","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"","","X10","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Field4","Field5","Field6","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","2","C1, C5","62pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"2","1","C3","3.3pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"3","8","C7, C9, C11, X1, X3, X5, X7, X9","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"4","3","C13, C16, C17","68pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"5","1","C14","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"6","1","C15","1200pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"7","1","C19","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"8","3","CON1, CON3, CON4","Sig_In","vk_custom_kicad:SMA-","Connector_Coaxial:SMA_Amphenol_132291-12_Vertical","JOHNSON COMPONENTS","","91B6105","1339835","142-0701-871","","","","",""
"9","2","CON2, CON5","SMA-","vk_custom_kicad:SMA-","Connector_Coaxial:SMA_Amphenol_132291-12_Vertical","JOHNSON COMPONENTS","","91B6105","1339835","142-0701-871","","","","",""
"10","1","D1","Blue","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"11","1","D2","Green","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"12","1","D3","Orange","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"13","1","D4","Yellow","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"14","3","D5, D6, D7","Red","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"15","4","H1, H2, H3, H4","3mm_Mounting_Hole","Mechanical:MountingHole","project_footprints:NPTH_3mm_ID","","","","","","","","","",""
"16","2","IC1, IC2","HMC241AQS16E","SamacSys_Parts:HMC241AQS16E","SamacSys_Parts:SOP64P600X175-16N","https://componentsearchengine.com/Datasheets/1/HMC241AQS16E.pdf","RF Switch ICs GaAs MMIC SP4T Non-Refl Swtch","","","","1.75","Analog Devices","HMC241AQS16E","584-HMC241AQS16E","https://www.mouser.com/Search/Refine.aspx?Keyword=584-HMC241AQS16E"
"17","1","IC3","SN74HC139PW","SamacSys_Parts:SN74HC139PW","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/SN74HC139","Texas Instruments SN74HC139PW, Dual, Decoder, Demultiplexer, 1-of-4, Inverting, 2  6 V, 16-Pin TSSOP","","","","","Texas Instruments","SN74HC139PW","595-SN74HC139PW","https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC139PW"
"18","2","J1, J2","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","",""
"19","1","J3","40HAT","RPi-Hat-RF-Transmitter-V1-rescue:OX40HAT-raspberrypi_hat","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","","","","","","","","","",""
"20","1","J4","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","","","","","","","","",""
"21","2","J5, J7","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","",""
"22","4","JP1, JP2, JP3, JP4","Jumper","Device:Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","",""
"23","2","L1, L5","18nH","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"24","1","L3","330nH","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"25","8","L7, L9, L11, X2, X4, X6, X8, X10","L","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"26","1","L13","82nH","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"27","7","R6, R10, R11, R12, R13, R14, R15","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"28","1","U1","SBB5089Z","vk_custom_kicad:SBB5089Z","RF_AMP_VK:SBB5089Z","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwj0l8WIkrbkAhXJbSsKHbu_CUMQFjAAegQIAhAC&url=https%3A%2F%2Fwww.qorvo.com%2Fproducts%2Fd%2Fda001309&usg=AOvVaw22USKWOlHmggPE9cEKP7A4","","","","","","","","",""
"29","1","U2","74AUC2G04","74xGxx:74AUC2G04","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","","","","","","","","",""
